
data dictionary


Num	Data Element Name	Data Element Sensitivity	How is the Data Element Obtained?	How is the Data Element stored?	What is the purpose for processing the data element?	How often is the data element updated?	Who has access to the data element?	How long is the data retained?	How is the data element disposed of?	Notes
11	Video Stream Data	Non-Personal Sensitive Data	Camera sensor (GC5603 5MP)	In-memory ring buffer (DMA memory, 30 frames/channel)	Product Functionality - live view, recording, streaming	Continuous (real-time at 15-30 fps)	Admin, Operator, Viewer (via RTSP/WebRTC/HLS)	Not retained (ring buffer overwritten continuously)	Automatic (overwritten in ring buffer)	4 channels: H.265 2944x1664 (main), H.264 1280x720 (sub), H.264 640x480 (mobile), H.264 640x360 (disabled). Max frame: 512KB. 16 consumers per channel.
12	Audio Stream Data	Non-Personal Sensitive Data	Camera microphone	In-memory ring buffer (256 frames, 8KB each)	Product Functionality - live audio, recording	Continuous (real-time)	Admin, Operator, Viewer	Not retained (ring buffer overwritten)	Automatic (overwritten in ring buffer)	G.711 u-law, 8KHz, mono, 64kbps default. Full DSP chain: HPF, notch, noise suppression, AGC, AEC. 32 consumers max.
13	Recorded Video Files	Non-Personal Sensitive Data	Camera (video + audio streams muxed to MP4)	AES-256-CTR encrypted MP4 files on SD card (/mnt/sd/DCIM/CHxx/)	Product Functionality - playback, evidence retention	Per segment (60-second files, continuous or event-triggered)	Admin, Operator, Viewer (via playback API)	Configurable: per-channel quota (30GB default), max 300 files, FIFO when 90% full	Automatic FIFO deletion; manual deletion via API; SD card removal	Fragmented MP4 (power-safe). Per-file encryption key derived via PBKDF2(MAC+recording_UUID, 50K iterations). Metadata in SQLCipher recordings.db on SD.
14	Snapshots (JPEG)	Non-Personal Sensitive Data	Camera (on-demand capture)	In-memory only (not persisted unless event-triggered)	Product Functionality - capture still image, event evidence	On demand / on analytics event	Admin, Operator, Viewer	Not retained (in-memory); event snapshots: FIFO on SD	Automatic (memory freed after response); FIFO on SD	2944x1664, JPEG quality 85. Event snapshots stored at /mnt/sd/snapshots/ with 320x180 thumbnails.
15	Recording Metadata	Non-Sensitive Data	System (auto-generated per recording segment)	SQLCipher-encrypted database (recordings.db on SD card)	Indexing - search/list/filter recordings	Every new recording segment	Admin, Operator, Viewer	With recording files (FIFO)	Deleted when corresponding recording is deleted	Fields: id (UUID), filename, channel, type, start_time, end_time, duration_ms, file_size, resolution, codec, encrypted flag, status.
16	Device Configuration	Non-Personal Sensitive Data	End User (admin configures via web UI / ONVIF)	JSON files on NAND flash (/mnt/app/ipcamera/configs/)	Product Functionality - all camera settings	As needed (admin changes settings)	Admin, Operator (read for some settings)	Indefinitely (persisted across reboots)	Factory reset restores from config.factory.d/; manual edit	17 JSON config files: media, network, system, streaming, recording, analytics, OSD, IR, ISP, etc. Config changes logged in audit log.
17	Network Configuration	Non-Personal Sensitive Data	End User (admin sets via web UI) + System (DHCP auto)	JSON config file (network.json)	Product Functionality - network connectivity	As needed	Administrator	Indefinitely	Factory reset	IPv4/IPv6 address, netmask, gateway, DNS, hostname, MTU, ports (HTTP 8082, HTTPS 443, RTSP 554, ONVIF 5000).
18	SMTP/Email Credentials	Non-Personal Sensitive Data	End User (admin configures email alerts)	Credential Manager (SQLCipher + AES-256-GCM dual-layer in secure.db)	Event alerting - send email on motion/analytics events	As needed (admin updates)	Administrator	Indefinitely	Factory reset; manual removal via API	Server, port, username, password, TLS flag, sender name/email, up to 5 recipients. Dual-layer encrypted.
19	NAS/FTP Credentials	Non-Personal Sensitive Data	End User (admin configures offload targets)	JSON config file (recording.json) + Credential Manager for password	Recording offload - upload to NAS/FTP	As needed	Administrator	Indefinitely	Factory reset	NAS: SMB server/share/username/password/domain. FTP: server/port/username/password/SSL. Optional delete-after-upload.
20	RTSP Credentials	Non-Personal Sensitive Data	End User (admin configures RTSP auth)	Credential Manager (secure.db)	Stream access control - authenticate RTSP clients	As needed	Administrator	Indefinitely	Factory reset	Username, password, realm. Default auth mode: none. Supports Basic/Digest. Localhost (go2rtc) bypasses auth.
21	SNMP Configuration	Non-Personal Sensitive Data	End User (admin configures)	Credential Manager (secure.db)	Network management	As needed	Administrator	Indefinitely	Factory reset	SNMPv2c community string; location, contact, name. Port 161. Disabled by default.
23	SSL/TLS Certificate & Private Key	Non-Personal Sensitive Data	System (auto-generated on first boot)	NAND flash (/mnt/app/ipcamera/ssl/Server.crt + Server.key)	HTTPS encryption for web portal	Auto-regenerated if missing; yearly validity	System	365 days (validity period)	Regenerated on expiry or factory reset	RSA 2048-bit self-signed. SAN includes hostname, IP, localhost. Served via nginx on :443.
24	RSA Key Pair (Login Encryption)	Non-Personal Sensitive Data	System (generated at startup)	In-memory only (never written to disk)	Hybrid RSA-OAEP + AES-256-GCM password encryption in transit	Auto-rotated every 24 hours; manual rotation via admin API	System (public key exposed via API; private key in memory only)	Until rotation (24h) or process restart	Overwritten in memory on rotation	RSA 2048-bit. Public key served at GET /api/v1/auth/public-key with key_id. Replay protection: timestamp +/-300s + nonce cache.
25	Device ID	Non-Sensitive Data	System (generated on first boot via RAND_bytes)	NAND flash (/mnt/app/.device_id, permissions 0400)	Unique device identifier for key derivation, event reporting	Once (first boot)	System (internal use)	Indefinitely (survives factory reset)	Only by reflashing NAND	32-char hex (16 random bytes). Used as input to PBKDF2 for all database encryption keys.
26	Device Salt	Non-Personal Sensitive Data	System (generated on first boot via RAND_bytes)	NAND flash (/mnt/app/.device_salt, permissions 0400)	PBKDF2 salt for deriving SQLCipher encryption keys	Once (first boot)	System (internal use)	Indefinitely (survives factory reset)	Only by reflashing NAND	32-char hex (16 random bytes). Combined with device_id + purpose string for per-DB keys.
27	SQLCipher Database Encryption Keys	Non-Personal Sensitive Data	System (derived at runtime from device_id + device_salt)	In-memory only (derived on demand, never stored on disk)	Encrypt/decrypt SQLCipher databases (users.db, secure.db, recordings.db)	Every database open	System (internal use)	Duration of process	Freed on process exit	PBKDF2-HMAC-SHA256, 100K iterations. Input: device_id + purpose + device_salt. Legacy migration from hardcoded salt.
28	Recording Encryption Keys	Non-Personal Sensitive Data	System (derived per recording from MAC address + UUID)	In-memory only (derived on demand)	AES-256-CTR encryption of video recording files	Per recording segment	System (internal use)	Duration of playback/recording session	Freed after use	PBKDF2, 50K iterations. Input: MAC + recording_id + salt. Each recording file gets a unique key.
29	Application Log	Non-Sensitive Data	System (auto-generated)	Text file (/var/log/ipcamd.log)	Debugging and troubleshooting	Continuous	Administrator (via web UI / SSH)	5 MB max, 3 rotated files	Overwritten via rotation; factory reset	Debug-level operational messages from all modules.
30	Access Log	Personal Data	System (auto-generated on every HTTP request)	Text file (/var/log/ipcamd_access.log)	Security auditing - track API usage	Every HTTP API request	Administrator	10 MB max, 3 rotated files	Overwritten via rotation; factory reset	Contains: client IP address, HTTP method, URI path, response status code, timing. Personal Data (IP addresses).
31	Security Log	Personal Data	System (auto-generated on auth events)	Text file (/var/log/ipcamd_security.log)	Security auditing - detect unauthorized access, brute-force	Every auth event (login/logout/failure/lockout)	Administrator	10 MB max, 3 rotated files	Overwritten via rotation; factory reset	Contains: usernames, IP addresses, auth outcomes, lockout events. Also forwarded to remote syslog if configured.
32	Audit Log	Non-Sensitive Data	System (auto-generated on config changes)	Text file (/var/log/ipcamd_audit.log)	Compliance - track who changed what configuration	Every config change	Administrator	10 MB max, 3 rotated files	Overwritten via rotation; factory reset	Contains: username, config key, old/new values, timestamp.
33	System Diagnostics	Non-Sensitive Data	System (collected by SystemLogger)	Text file (/mnt/app/logs/boot_dmesg.log) + in-memory	Health monitoring - SoC temperature, CPU/memory/disk usage	Every 30-60 seconds	Administrator	Flash: 3 MB total; SD (if enabled): 500 MB / 30 days	Overwritten via rotation; factory reset	Sources: dmesg, thermal_zone0, sysdiag (uptime, load, CPU, RAM, disk, network, process count). No external telemetry.
34	AI/Analytics Detection Events	Non-Sensitive Data	System (AI inference on video frames)	In-memory event queue + SQLCipher-encrypted recordings.db on SD	Product Functionality - smart detection, alerting	Continuous (real-time inference)	Admin, Operator, Viewer (via events API)	Max 1000 events in history; recordings per FIFO quota	FIFO deletion for recordings; memory freed for events	Types: motion, person, vehicle, animal, face, line-crossing, zone intrusion, tamper. Includes bounding boxes, confidence, timestamp. Event snapshots on SD.
35	Face Database (Face Recognition)	Sensitive Personal Data	End User (admin enrolls faces)	Persistent storage on NAND (/mnt/app/face_db)	Product Functionality - identify known individuals	As needed (admin enrolls/removes)	Administrator	Indefinitely (until admin deletes)	Manual deletion by admin; factory reset	Face embeddings from RetinaFace model. Similarity threshold 0.7. Disabled by default. Contains biometric data.
36	License Plate Data	Personal Data	System (AI inference from video)	In-memory event data + event snapshots on SD	Product Functionality - vehicle identification	Real-time detection when enabled	Admin, Operator	With event data (max 1000 events + FIFO snapshots)	FIFO deletion; manual deletion	LPR model (lpr_nvt). Disabled by default. Regions: US/EU. Plate text included in event metadata.
37	ISP Calibration Data	Non-Sensitive Data	Factory / Sensor (auto-calibration)	NAND flash (/mnt/app/isp/)	Image quality tuning - AE, AWB, AF tables	Rarely (factory set, tunable via API)	Developer, Administrator	Indefinitely (until firmware update)	Firmware update / factory reset	Sensor-specific (GC5603). Includes AE/AWB/AF tables, WDR/defog/3DNR reference data.
38	OSD Overlay Configuration	Non-Sensitive Data	End User (admin configures)	JSON config file (osd.json)	Product Functionality - on-screen display overlays	As needed	Administrator	Indefinitely	Factory reset	Per-stream: timestamp format/position, text overlay content/position, logo position. Font: arial.ttf, logo: logo.bin.
39	Privacy Mask Regions	Non-Sensitive Data	End User (admin defines masked areas)	JSON config file (osd.json)	Privacy protection - obscure sensitive areas in video	As needed	Administrator	Indefinitely	Factory reset	Up to 4 regions per stream + 4 global. Coordinates (x1,y1,x2,y2), color (ARGB), enabled flag. Hardware-accelerated via HDAL.
40	MAC Address	Non-Sensitive Data	Hardware (network interface)	Read from /sys/class/net/eth0/address	Device identification, recording key derivation, hostname generation	Never (hardware-fixed)	System, Administrator	Indefinitely (hardware)	Not disposable (hardware ROM)	Used as seed for recording encryption key derivation. Hostname auto-generated as hon + MAC prefix.
41	Firmware Verification Key	Non-Sensitive Data	Factory (embedded in firmware)	Read-only firmware partition	Firmware integrity - verify update image signatures	Never (factory-set)	System (internal use)	Indefinitely (firmware lifecycle)	Firmware update replaces it	RSA public key (N, E components). Used to verify firmware image digital signatures during OTA upgrade.
43	Device Information	Non-Sensitive Data	Factory / System	JSON config file (device.json)	Product identification - ONVIF discovery, web UI display	Once (factory set)	All users (read-only)	Indefinitely	Firmware update	Model (Eterna), manufacturer (Honeywell), serial number, firmware version, hardware_id, sensor type. Exposed via ONVIF and REST API.
44	NTP Configuration	Non-Sensitive Data	End User (admin configures) / Factory defaults	JSON config file (system.json)	Time synchronization	As needed; NTP sync every 3600s	Administrator	Indefinitely	Factory reset	10 NTP servers + 4 fallback IPs. Sync interval configurable. Input sanitized against shell injection.
45	Schedule Profiles (Recording)	Non-Sensitive Data	End User (admin configures)	JSON config file (recording schedule)	Automated recording control - 7-day x 24-hour grid	As needed	Administrator	Indefinitely	Factory reset	Per-hour slots: enabled flag + recording type (continuous/motion/event). Pre/post record buffers configurable.

